code,observed_at,start_at,status,chance_this,chance_next,news
57145,1662536127,1662116683,u,0.0,0.0,Transferred to Elche
57328,1657988027,1657988027,a,,,
57328,1664875640,1664647207,d,,25.0,Ankle injury - 25% chance of playing
57328,1665555681,1665555681,i,0.0,0.0,Ankle injury - Expected back 22 Oct
57328,1665995118,1665995118,d,25.0,25.0,Ankle injury - 25% chance of playing
57328,1666688392,1666688392,d,0.0,50.0,Ankle injury - 50% chance of playing
57328,1667216228,1667216228,a,100.0,100.0,
57328,1682014831,1681482607,i,0.0,0.0,Knee injury - Unknown return date
57328,1682333791,1682333791,i,0.0,0.0,Knee injury - Expected back 29 Apr
57328,1682690190,1682690190,d,0.0,50.0,Knee injury - 50% chance of playing
57328,1683287633,1683287633,a,50.0,100.0,
57531,1657988027,1657988027,a,,,
57531,1660639221,1660639221,a,75.0,100.0,
57531,1678185619,1677972608,d,100.0,75.0,Hamstring injury - 75% chance of playing
57531,1679046737,1678410009,d,75.0,75.0,Calf injury - 75% chance of playing
57531,1680813728,1680813728,a,75.0,100.0,
57647,1657988027,1657988027,a,,,
58376,1657988027,1657988027,a,,,
58376,1672638138,1672326008,d,25.0,25.0,Ankle injury - 25% chance of playing
58376,1673585957,1673585957,d,25.0,50.0,Ankle injury - 50% chance of playing
58376,1674555185,1674555185,d,75.0,75.0,Lack of match fitness - 75% chance of playing
58376,1677262181,1677262181,a,100.0,100.0,
58621,1657988027,1657988027,a,,,
58621,1662536127,1662334206,d,,50.0,Knock - 50% chance of playing
58621,1663194349,1663194349,d,50.0,25.0,Knock - 25% chance of playing
58621,1663775227,1663775227,a,50.0,100.0,
58621,1664875640,1664744407,d,100.0,75.0,Knock - 75% chance of playing
58621,1665555681,1665555681,i,0.0,0.0,Abdominal injury - Expected back 16 Nov
58621,1666688392,1666688392,i,0.0,0.0,Abdominal injury - Expected back 12 Nov
58621,1667216228,1667216228,i,0.0,0.0,Abdominal injury - Expected back 28 Dec
58621,1669176618,1669176618,a,0.0,100.0,
58771,1657988027,1657988027,a,,,
58771,1660639221,1660519807,d,,75.0,Illness - 75% chance of playing
58771,1661250559,1661250559,d,50.0,50.0,Illness - 50% chance of playing
58771,1661766052,1661766052,a,75.0,100.0,
58771,1665555681,1665163807,d,25.0,25.0,Back injury - 25% chance of playing
58771,1667216228,1667216228,i,0.0,0.0,Back injury - Unknown return date
58771,1668109477,1668109477,a,0.0,100.0,
58771,1682333791,1682035208,d,25.0,25.0,Head injury - 25% chance of playing
58822,1657988027,1657988027,a,,,
58822,1663775227,1663335007,d,50.0,50.0,Knock - 50% chance of playing
58822,1664875640,1664875640,d,25.0,25.0,Knock - 25% chance of playing
58822,1665555681,1665555681,a,100.0,100.0,
58845,1657988027,1657755005,u,,0.0,Joined Sheffield United on loan - Expected back 01 Jul
59735,1657988027,1657988027,a,,,
59735,1663194349,1662813006,d,,25.0,Ankle injury - 25% chance of playing
59735,1663775227,1663775227,i,0.0,0.0,Ankle injury - Expected back 29 Oct
59735,1667216228,1667216228,i,0.0,0.0,Ankle injury - Unknown return date
59735,1668109477,1668109477,a,75.0,100.0,
59735,1675962528,1675250027,u,0.0,0.0,Season-long loan to Hull City
59859,1657988027,1657988027,a,,,
